Removed Pin From Net: NetName=VCC Pin=C5-1
Removed Pin From Net: NetName=RESET Pin=C5-2
Removed Member From Class: ClassName=复位 Member=C5
Change Component Footprint: Designator=C5 Old Footprint=CAPR5-4X5 New Footprint=FP-1210-L_3_3_0_4-W_2_5_0-IPC_B
Change Component Footprint: Designator=R4 Old Footprint=RESC6332 New Footprint=RESC3225X70X45NL20T20
Change Component Comment : Designator=C5 Old Comment=Cap Pol1 New Comment=12102C104KAT2A
Change Component Comment : Designator=R4 Old Comment=Res2 New Comment=CRCW121015R0JNEAHP
Change Managed Component Library Link : Designator=C5 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=6EE70956-5B94-4EAF-BF69-5FFC86EDDEFD Old RevisionGUID= New RevisionGUID=1FF2FD29-D2F1-42E4-8A2D-1FAC02C5DBD6
Change Managed Component Library Link : Designator=R4 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=F6345F39-6AE2-4DCE-923A-A115C01DA446 Old RevisionGUID= New RevisionGUID=25EF7A8D-8D18-4313-A099-C6E35CEFE226
Change component parameters: Designator = "C5" ("C5"); Footprint = "CAPR5-4X5"; UniqueID = "\TDMWFAPI" ("\TDMWFAPI")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "100nF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "1210"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "3225"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "1210"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Construction"; Value = "Flat"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "2.5mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dissipation Factor"; Value = "2.5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "1.27mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "3.2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
